company_name,company_slug,company_url,review_count,company_type,company_size,company_address,processed
Hybrid Technologies,hybrid-technologies,https://congty.review/companies/hybrid-technologies,15,outsource,501-1000,"Ho Chi Minh, Ha Noi, Da Nang",True
ICHIBA,ichiba,https://congty.review/companies/ichiba,9,product,1-50,"Ha Noi, Ha Noi",True
Elfie,elfie,https://congty.review/companies/elfie,34,outsource,1-50,"42 Ngô Quang Huy, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh",True
Brainmark (Business Management Group),brainmark-business-management-group,https://congty.review/companies/brainmark-business-management-group,5,product,1-50,"District 3, Ho Chi Minh",True
Trường cao đẳng kinh tế đối ngoại - COFER,truong-cao-dang-kinh-te-doi-ngoai---cofer,https://congty.review/companies/truong-cao-dang-kinh-te-doi-ngoai---cofer,0,Giáo dục,150-300,"106 Đại Lộ 3, Phước Bình, Phước Long, Hồ Chí Minh",True
Endava Vietnam,endava-vietnam,https://congty.review/companies/endava-vietnam,0,IT Services and Consulting,1000+,"9-11 Đống Đa, Phường 2, Tân Sơn Hòa, Hồ Chí Minh",True
CMC Global,cmc-global,https://congty.review/companies/cmc-global,692,outsource,151-300,"Lot C1A, Dich Vong Hau Cau Giay Ha Noi",True
CÔNG TY TNHH AIRSPEED MANUFACTURING VIỆT NAM,cong-ty-tnhh-airspeed-manufacturing-viet-nam,https://congty.review/companies/cong-ty-tnhh-airspeed-manufacturing-viet-nam,0,Sản xuất linh kiện điện tử,201-500,"KCN Tân Kim, Cần Giuộc, Tây Ninh",True
DOJI,doji,https://congty.review/companies/doji,11,product,51-150,44 Lê Ngọc Hân Hai Ba Trung Ha Noi,True
Digitech Solutions,digitech-solutions,https://congty.review/companies/digitech-solutions,26,Outsource,1-50,"Công viên Phần mềm Quang Trung, Tòa nhà SBI, Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh",True
Keyence,keyence,https://congty.review/companies/keyence,5,product,51-150,"19F tòa nhà Capital Place 29 Liễu Giai, Ba Đình, Hà Nội",True
Công ty TNHH Giáo dục và Đào tạo Agena,cong-ty-tnhh-giao-duc-va-dao-tao-agena,https://congty.review/companies/cong-ty-tnhh-giao-duc-va-dao-tao-agena,0,Giáo dục,11-50,TP.HCM,True
CN AGENCY,cn-agency,https://congty.review/companies/cn-agency,0,F&B,1-10,TP. HCM,True
IDM Vietnam (International Digital Media),idm-vietnam-international-digital-media,https://congty.review/companies/idm-vietnam-international-digital-media,8,outsource,51-150,193 Dinh Tien Hoang District 1 Ho Chi Minh,True
SAI Digital,sai-digital,https://congty.review/companies/sai-digital,48,outsource,151-300,364 Cong Hoa Tan Binh Ho Chi Minh,True
Công Ty Cổ Phần Vacxin Việt Nam,cong-ty-co-phan-vacxin-viet-nam,https://congty.review/companies/cong-ty-co-phan-vacxin-viet-nam,11,product,51-150,Ho Chi Minh,True
IELTS Vietop,ielts-vietop,https://congty.review/companies/ielts-vietop,13,outsource,,,True
Teamwork VietNam,teamwork-vietnam,https://congty.review/companies/teamwork-vietnam,19,product,51-150,12 Ho Chi Minh,True
CÔNG TY TNHH THIẾT BỊ CÔNG NGHIỆP AECOM,cong-ty-tnhh-thiet-bi-cong-nghiep-aecom,https://congty.review/companies/cong-ty-tnhh-thiet-bi-cong-nghiep-aecom,0,Cung ứng vật tư công nghiệp,11-50,Hà Nội,True
nệm việt hàn,nem-viet-han,https://congty.review/companies/nem-viet-han,0,hệ thống bán nệm,50-100 nhân sự,Hồ Chí Minh,True
Trường Đại Học Công Nghệ Tp.hcm - Hutech,truong-dai-hoc-cong-nghe-tp-hcm-hutech,https://congty.review/companies/truong-dai-hoc-cong-nghe-tp-hcm-hutech,6,outsource,151-500,"475 điện biên phủ, phường 25, quận bình thạnh",True
CodeGym,codegym,https://congty.review/companies/codegym,73,product,1-50,68 Nguyen Co Thach Nam Tu Liem Ha Noi,True
Công ty TNHH thương mại và sản xuất Duy Đạt,cong-ty-tnhh-thuong-mai-va-san-xuat-duy-dat,https://congty.review/companies/cong-ty-tnhh-thuong-mai-va-san-xuat-duy-dat,0,May mặc,11-50,"số 5 ngõ 95/65A Thúy Lĩnh , hà nội",True
PixoFox Studio,pixofox-studio,https://congty.review/companies/pixofox-studio,13,outsource,11-50,"Etown 364 Cộng Hòa, phường 13 , quận Tân Bình",True
VIETISO,vietiso,https://congty.review/companies/vietiso,42,product,1-50,"18 Tam Trinh, 18th Floor, VTC Online Tower Hoang Mai Ha Noi",True
Matech Mobile,matech-mobile,https://congty.review/companies/matech-mobile,10,product,1-50,"Thanh Xuan, Ha Noi",True
New Home 24H,new-home-24h,https://congty.review/companies/new-home-24h,0,Thiết kế nội thất,1-10,TPHCM,True
Vietoffice,vietoffice,https://congty.review/companies/vietoffice,0,Bất động sản,1-10,Tp hcm,True
TNHH FAMITA - NHÀ THUỐC MINH CHÂU,tnhh-famita---nha-thuoc-minh-chau,https://congty.review/companies/tnhh-famita---nha-thuoc-minh-chau,0,Dược,11-50,"354 Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",True
VIỆN THẨM MỸ QUỐC TẾ V-MEDICAL,vien-tham-my-quoc-te-v-medical,https://congty.review/companies/vien-tham-my-quoc-te-v-medical,0,Thẩm mỹ,11-50,"57A Trần Quốc Thảo.Phường Võ Thị Sáu,Quận 3, TPHCM",True
Công Ty TNHH Quốc Tế Việt,cong-ty-tnhh-quoc-te-viet,https://congty.review/companies/cong-ty-tnhh-quoc-te-viet,0,Sản xuất nước ép trái cây,11-50,Ấp 5 xã mỹ thạnh tỉnh tây ninh,True
Kohi Vietnam,kohi-vietnam,https://congty.review/companies/kohi-vietnam,22,product,51-150,"số 7, ngõ 53, Yên Lãng, Đống Đa, Hà Nội Hai Ba Trung Ha Noi",True
Suntory PepsiCo Việt Nam,suntory-pepsico-viet-nam,https://congty.review/companies/suntory-pepsico-viet-nam,0,,,,True
Công ty TNHH Thiết kế và Xây dựng Đức Thảo,cong-ty-tnhh-thiet-ke-va-xay-dung-duc-thao,https://congty.review/companies/cong-ty-tnhh-thiet-ke-va-xay-dung-duc-thao,0,Xây dựng,Dưới 25 người,"435/284/17 Phạm Văn Đồng, Phường Bình Lợi Trung, TP Hồ Chí Minh, Việt Nam",True
Dịch vụ WAO,dich-vu-wao,https://congty.review/companies/dich-vu-wao,11,outsource,1-50,Ho Chi Minh,True
CÔNG TY TNHH STRAVO VIỆT NAM,cong-ty-tnhh-stravo-viet-nam,https://congty.review/companies/cong-ty-tnhh-stravo-viet-nam,0,11-50,,"Lầu 6, Pearl5 Center, 5 Lê Quý Đôn, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh",True
Jaccs,jaccs,https://congty.review/companies/jaccs,0,,,,True
Citigo Software,citigo-software,https://congty.review/companies/citigo-software,99,product,301-500,1 Yet Kieu Hoan Kiem Ha Noi,True
EnterpriseNao,enterprisenao,https://congty.review/companies/enterprisenao,6,product,1-50,88 Láng Hạ Ba Dinh Ha Noi,True
DTC group,dtc-group,https://congty.review/companies/dtc-group,0,,,,True
Perfect Companion VietNam,perfect-companion-vietnam,https://congty.review/companies/perfect-companion-vietnam,0,Pets food,100 - 500 nhân viên,"TP. HCM, HN, ĐN",True
Adsplus,adsplus,https://congty.review/companies/adsplus,12,product,51-150,"District 3, Ho Chi Minh",True
BlueR Production,bluer-production,https://congty.review/companies/bluer-production,8,outsource,1-50,20 Cộng Hòa Tan Binh Ho Chi Minh,True
BCVN,bcvn,https://congty.review/companies/bcvn,0,"Tài chính ngân hàng, Công nghệ thông tin",50-100,TP. Hồ Chí Minh,True
Datalogic Việt Nam,datalogic-viet-nam,https://congty.review/companies/datalogic-viet-nam,36,product,301-500,Datalogic Vietnam District 9 Ho Chi Minh,True
LF Global Tech,lf-global-tech,https://congty.review/companies/lf-global-tech,0,IT,11-50,HCM,True
On Digital,on-digital,https://congty.review/companies/on-digital,0,Agency,11-50,Tp.HCM,True
CÔNG TY TNHH SẮT THÉP NGỌC BIỂN,cong-ty-tnhh-sat-thep-ngoc-bien,https://congty.review/companies/cong-ty-tnhh-sat-thep-ngoc-bien,0,sắt thép,201-500,TP HCM,True
Gốm xứ Việt Hương,gom-xu-viet-huong,https://congty.review/companies/gom-xu-viet-huong,0,,,Đà Nẵng,True
Công ty cổ phần đầu tư xây dựng Bàn Thạch,cong-ty-co-phan-dau-tu-xay-dung-ban-thach,https://congty.review/companies/cong-ty-co-phan-dau-tu-xay-dung-ban-thach,0,Xây dựng,51-200,Tp.HCM,True
Sparkminds,sparkminds,https://congty.review/companies/sparkminds,1,IT Outsourcing,11-50,"24A Bàu Cát 2, Phường 14, Quận Tân bình, TP.HCM, Tan Binh, Ho Chi Minh",True
công ty cổ phần chứng khoán Pinetree,cong-ty-co-phan-chung-khoan-pinetree,https://congty.review/companies/cong-ty-co-phan-chung-khoan-pinetree,0,,,Hà Nội,True
Công ty Cổ phần Chăn nuôi C.P. Việt Nam,cong-ty-cỏ-phàn-chan-nuoi-c.p.-viẹt-nam,https://congty.review/companies/cong-ty-cỏ-phàn-chan-nuoi-c.p.-viẹt-nam,0,1000+,,,True
Everest Education,everest-education,https://congty.review/companies/everest-education,2,product,1-50,Ho Chi Minh,True
Pompous Group,pompous-group,https://congty.review/companies/pompous-group,0,kế toán,,Hà Nội,True
Công ty Vimetech,cong-ty-vimetech,https://congty.review/companies/cong-ty-vimetech,2,IT,11-50,"Tây Sơn, Hà Nội",True
VETC,vetc,https://congty.review/companies/vetc,0,,,,True
NaviWorld,naviworld,https://congty.review/companies/naviworld,11,product,1-50,41 Hai Ba Trung Hoan Kiem Ha Noi,True
TONY FRUIT,tony-fruit,https://congty.review/companies/tony-fruit,7,Kinh doanh,201-500,"212 Đường 48, Phường Vĩnh Hội, TP HCM",True
Công ty tnhh adc,cong-ty-tnhh-adc,https://congty.review/companies/cong-ty-tnhh-adc,0,501-1000,,93 nguyễn văn thủ đakao quận 1,True
JAVIS ENTERPRISE,javis-enterprise,https://congty.review/companies/javis-enterprise,8,outsource,1-50,Keangnam Landmark 72 Nam Tu Liem Ha Noi,True
Kiaisoft Việt Nam,kiaisoft-viet-nam,https://congty.review/companies/kiaisoft-viet-nam,51,outsource,1-50,Ha Noi,True
Topicus Vietnam,topicus-vietnam,https://congty.review/companies/topicus-vietnam,0,IT Product,51-200,"106 Nguyen Van Troi Street, Phu Nhuan, Ho Chi Minh city",True
Yum! Digital & Technology Vietnam,yum!-digital-&-technology-vietnam,https://congty.review/companies/yum!-digital-&-technology-vietnam,0,F&B,51-200,TP HCM,True
"FACENET.,JSC",facenet-jsc,https://congty.review/companies/facenet-jsc,9,outsource,,,True
