company_name,company_slug,company_url,review_count,company_type,company_size,company_address,processed
Aurora Travel Asia (1),aurora-travel-asia,https://congty.review/companies/aurora-travel-asia,1,,,Aurora Travel Asia (1) product 151-300 91 Ly Nam De Hoan Kiem Ha Noi,False
Tân Việt Nhật (2),tan-viet-nhat,https://congty.review/companies/tan-viet-nhat,2,,,"Tân Việt Nhật (2) outsource 151-500 26C Lê Quốc Hưng, Phường 12, Quận 4, Thành phố Hồ Chí Minh",False
Công ty cổ phần Data Edo (17),cong-ty-co-phan-data-edo,https://congty.review/companies/cong-ty-co-phan-data-edo,17,,,"Công ty cổ phần Data Edo (17) outsource 519 Kim Mã, Ba Đình, Hà Nội",False
Công ty TNHH Framas Việt Nam (2),cong-ty-tnhh-framas-viet-nam,https://congty.review/companies/cong-ty-tnhh-framas-viet-nam,2,,,"Công ty TNHH Framas Việt Nam (2) product 501-1000 Others, Ho Chi Minh",False
Wirecard (Vietnam) (3),wirecard-vietnam,https://congty.review/companies/wirecard-vietnam,3,,,Wirecard (Vietnam) (3) product 1-50 268 To Hien Thanh District 10 Ho Chi Minh,False
Tập Đoàn Trường Thành (1),tap-doan-truong-thanh,https://congty.review/companies/tap-doan-truong-thanh,1,,,Tập Đoàn Trường Thành (1) product 1-50 Ha Noi,False
NEKO TECHNOLOGY (2),neko-technology,https://congty.review/companies/neko-technology,2,,,"NEKO TECHNOLOGY (2) product 1-50 905 chung cư Xuân Phương Residence, đường Trần Hữu Dực Nam Tu Liem Ha Noi",False
Công ty CP Xây lắp điện I (PCC1) (1),cong-ty-cp-xay-lap-dien-i-pcc1,https://congty.review/companies/cong-ty-cp-xay-lap-dien-i-pcc1,1,,,"Công ty CP Xây lắp điện I (PCC1) (1) product 301-500 Dong Da, Ha Noi",False
K-Soft (1),k-soft,https://congty.review/companies/k-soft,1,,,"K-Soft (1) outsource 1-50 Cau Giay, Ha Noi",False
ERM System (1),erm-system,https://congty.review/companies/erm-system,1,,,ERM System (1) product 1-50 67 Đinh Bo Linh Binh Thanh Ho Chi Minh,False
AIC Group (6),aic-group,https://congty.review/companies/aic-group,6,,,AIC Group (6) product 51-150 69 Tuệ Tĩnh Hai Ba Trung Ha Noi,False
Nha Khoa Tâm Đức Smile (3),nha-khoa-tam-duc-smile,https://congty.review/companies/nha-khoa-tam-duc-smile,3,,,,False
Neotiq (6),neotiq,https://congty.review/companies/neotiq,6,,,Neotiq (6) outsource 51-150 9 Hoàng Cầu Dong Da Ha Noi,False
Meiko Việt Nam (5),meiko-viet-nam,https://congty.review/companies/meiko-viet-nam,5,,,Meiko Việt Nam (5) product 301-500 KCN Thạch Thất Ha Noi,False
New Viet Dairy (4),new-viet-dairy,https://congty.review/companies/new-viet-dairy,4,,,New Viet Dairy (4) outsource 1-50 145 Ton That Dam District 1 Ho Chi Minh,False
FGC Techlution (1),fgc-techlution,https://congty.review/companies/fgc-techlution,1,,,"FGC Techlution (1) product 51-150 Cau Giay, Ha Noi",False
VGU (3),vgu,https://congty.review/companies/vgu,3,,,,False
Kizciti (1),kizciti,https://congty.review/companies/kizciti,1,,,"Kizciti (1) outsource 11-50 Khu công viên Khánh Hội, Đường số 48, Phường 5, Quận 4, Thành phố Hồ Chí Minh 700000",False
SevenHome (2),sevenhome,https://congty.review/companies/sevenhome,2,,,"SevenHome (2) product 151-300 Cau Giay, Ha Noi",False
DEVBLOCK VIETNAM (2),devblock-vietnam,https://congty.review/companies/devblock-vietnam,2,,,"DEVBLOCK VIETNAM (2) outsource 1-50 Tầng 9, Tòa nhà ACB, 444A - 446 Cách Mạng Tháng 8 District 3 Ho Chi Minh",False
Pexraytech (7),pexraytech,https://congty.review/companies/pexraytech,7,,,"Pexraytech (7) product 1-50 25 Hoang Hoa Tham Street, Ward 6 Binh Thanh Ho Chi Minh",False
ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TIỆN ÍCH Online (1),dau-tu-thuong-mai-dich-vu-tien-ich-online,https://congty.review/companies/dau-tu-thuong-mai-dich-vu-tien-ich-online,1,,,"ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TIỆN ÍCH Online (1) product 1-50 Go Vap, Ho Chi Minh",False
Pure Projects (6),pure-projects,https://congty.review/companies/pure-projects,6,,,Pure Projects (6) outsource 1-50 303 Điện Biên Phủ District 3 Ho Chi Minh,False
Balance Internet (10),balance-internet,https://congty.review/companies/balance-internet,10,,,Balance Internet (10) outsource 1-50 165 Ba Trieu Hai Ba Trung Ha Noi,False
Victoria Educational and Training (1),victoria-educational-and-training,https://congty.review/companies/victoria-educational-and-training,1,,,Victoria Educational and Training (1) product 1-50 08 Hồ Tùng Mậu Cau Giay Ha Noi,False
JV-IT (37),jv-it,https://congty.review/companies/jv-it,37,,,JV-IT (37) outsource 51-150 108 Tran Minh Quyen District 10 Ho Chi Minh,False
Miin Asia (2),miin-asia,https://congty.review/companies/miin-asia,2,,,Miin Asia (2) outsource 1-50 Ha Noi,False
Crossover for Work (2),crossover-for-work,https://congty.review/companies/crossover-for-work,2,,,Crossover for Work (2) product 51-150 Ha Noi,False
Chingluh Vietnam (2),chingluh-vietnam,https://congty.review/companies/chingluh-vietnam,2,,,,False
PV Engineering (2),pv-engineering,https://congty.review/companies/pv-engineering,2,,,PV Engineering (2) product 51-150 Ho Chi Minh,False
NextJuris (3),nextjuris,https://congty.review/companies/nextjuris,3,,,"NextJuris (3) product 1-50 Ho Chi Minh, Others",False
SG Fintech (3),sg-fintech,https://congty.review/companies/sg-fintech,3,,,"SG Fintech (3) outsource 1-50 Binh Thanh, Ho Chi Minh",False
Edugames (1),edugames,https://congty.review/companies/edugames,1,,,"Edugames (1) product 1-50 Ba Dinh, Ha Noi",False
Taka (2),taka,https://congty.review/companies/taka,2,,,Taka (2) product 1-50 47 Dao Duy Anh Phu Nhuan Ho Chi Minh,False
Christina's (2),christina's,https://congty.review/companies/christina's,2,,,Christina's (2) product 301-500 212 Nguyen Trai District 1 Ho Chi Minh,False
RDSoft (1),rdsoft,https://congty.review/companies/rdsoft,1,,,RDSoft (1) product 51-150 51 Đường T4B Tan Phu Ho Chi Minh,False
Hệ Sinh Thái Sức Khỏe Ehealthcare (1),he-sinh-thai-suc-khoe-ehealthcare,https://congty.review/companies/he-sinh-thai-suc-khoe-ehealthcare,1,,,"Hệ Sinh Thái Sức Khỏe Ehealthcare (1) outsource 11-50 Số 15, ngõ 1, Trung Văn, Nam Từ Liêm, Hà Nội",False
KDATA (3),kdata,https://congty.review/companies/kdata,3,,,"KDATA (3) product 51-150 6 Hoa Hồng, Ward 2 Phu Nhuan Ho Chi Minh",False
Công Ty CP Công Nghệ Internet BBI Việt Nam (1),cong-ty-cp-cong-nghe-internet-bbi-viet-nam,https://congty.review/companies/cong-ty-cp-cong-nghe-internet-bbi-viet-nam,1,,,Công Ty CP Công Nghệ Internet BBI Việt Nam (1) product 1-50 Ha Noi,False
ANS Asia (4),ans-asia,https://congty.review/companies/ans-asia,4,,,ANS Asia (4) outsource 51-150 Mễ Trì Nam Tu Liem Ha Noi,False
HGD - Hanoi Global Design (2),hgd-hanoi-global-design,https://congty.review/companies/hgd-hanoi-global-design,2,,,HGD - Hanoi Global Design (2) product 51-150 Pham Hung Nam Tu Liem Ha Noi,False
Viện quản lý kinh doanh quốc tế IBM (2),vien-quan-ly-kinh-doanh-quoc-te-ibm,https://congty.review/companies/vien-quan-ly-kinh-doanh-quoc-te-ibm,2,,,"Viện quản lý kinh doanh quốc tế IBM (2) outsource 11-50 224 Điện Biên Phủ, Phường 7, Quận 3, Thành phố Hồ Chí Minh",False
Nozomi Japan (6),nozomi-japan,https://congty.review/companies/nozomi-japan,6,,,"Nozomi Japan (6) product 11-50 Tầng 5, Tòa M5, 91 Nguyễn Chí Thanh, Thành Công, Đống Đa, Hà Nội",False
HPT Vietnam Corporation (1),hpt-vietnam-corporation,https://congty.review/companies/hpt-vietnam-corporation,1,,,HPT Vietnam Corporation (1) product 51-150 3 Nguyen Luong Bang District 7 Ho Chi Minh,False
Giải pháp Công nghệ Kim Cương (5),giai-phap-cong-nghe-kim-cuong,https://congty.review/companies/giai-phap-cong-nghe-kim-cuong,5,,,Giải pháp Công nghệ Kim Cương (5) outsource 1-50 Ha Noi,False
